indicator_id,branch,period,geography,value,unit,scope,source_slug,source_locator,verified_on,confidence,caveat
grid-coverage-national,distribution-reliability,FY2024/25,Nepal,97.6,percent,national-grid-coverage,nea-annual-report-fy2024-25,key-data-points,2026-07-19,high,"Measures reported grid reach, not continuity or voltage quality"
total-system-loss,distribution-reliability,FY2024/25,Nepal,12.26,percent,total-transmission-and-distribution-loss,nea-annual-report-fy2024-25,key-data-points,2026-07-19,high,"Aggregate system measure; not a feeder reliability metric"
distribution-loss-kathmandu,distribution-reliability,FY2024/25,Kathmandu-office,6.51,percent,distribution-office-loss,nea-annual-report-fy2024-25,DCSD-provincial-office-table,2026-07-19,medium-high,"Administrative-office aggregate"
distribution-loss-hetauda,distribution-reliability,FY2024/25,Hetauda-office,8.59,percent,distribution-office-loss,nea-annual-report-fy2024-25,DCSD-provincial-office-table,2026-07-19,medium-high,"Administrative-office aggregate"
distribution-loss-janakpur,distribution-reliability,FY2024/25,Janakpur-office,14.05,percent,distribution-office-loss,nea-annual-report-fy2024-25,DCSD-provincial-office-table,2026-07-19,medium-high,"Administrative-office aggregate"
distribution-loss-biratnagar,distribution-reliability,FY2024/25,Biratnagar-office,12.27,percent,distribution-office-loss,nea-annual-report-fy2024-25,DCSD-provincial-office-table,2026-07-19,medium-high,"Administrative-office aggregate"
distribution-loss-butwal,distribution-reliability,FY2024/25,Butwal-office,8.61,percent,distribution-office-loss,nea-annual-report-fy2024-25,DCSD-provincial-office-table,2026-07-19,medium-high,"Administrative-office aggregate"
distribution-loss-nepalgunj,distribution-reliability,FY2024/25,Nepalgunj-office,10.11,percent,distribution-office-loss,nea-annual-report-fy2024-25,DCSD-provincial-office-table,2026-07-19,medium-high,"Administrative-office aggregate"
distribution-loss-pokhara,distribution-reliability,FY2024/25,Pokhara-office,8.67,percent,distribution-office-loss,nea-annual-report-fy2024-25,DCSD-provincial-office-table,2026-07-19,medium-high,"Administrative-office aggregate"
distribution-loss-attaria,distribution-reliability,FY2024/25,Attaria-office,13.60,percent,distribution-office-loss,nea-annual-report-fy2024-25,DCSD-provincial-office-table,2026-07-19,medium-high,"Administrative-office aggregate"
distribution-loss-surkhet,distribution-reliability,FY2024/25,Surkhet-office,17.02,percent,distribution-office-loss,nea-annual-report-fy2024-25,DCSD-provincial-office-table,2026-07-19,medium-high,"Administrative-office aggregate"
firms-regular-outages,distribution-reliability,2022,Nepal,76,percent,surveyed-firms-reporting-regular-outages,wb-country-economic-memo-2025,key-data-points,2026-07-19,medium-high,"Enterprise survey evidence cited in a 2025 memo; not an annual utility series"
electricity-sales,demand-electrification,FY2024/25,Nepal,11288,GWh,customer-sales,nea-annual-report-fy2024-25,distribution-directorate,2026-07-19,high,"Fiscal-year snapshot"
electricity-consumers,demand-electrification,FY2024/25,Nepal,5707528,connections,registered-consumers,nea-annual-report-fy2024-25,distribution-directorate,2026-07-19,high,"Connections are not people or households"
sales-share-domestic,demand-electrification,FY2024/25,Nepal,42.02,percent,electricity-sales-share,nea-annual-report-fy2024-25,DCSD-sectoral-demand-table,2026-07-19,high,"Customer category classification"
sales-share-industrial,demand-electrification,FY2024/25,Nepal,36.64,percent,electricity-sales-share,nea-annual-report-fy2024-25,DCSD-sectoral-demand-table,2026-07-19,high,"Customer category classification"
sales-share-commercial,demand-electrification,FY2024/25,Nepal,7.79,percent,electricity-sales-share,nea-annual-report-fy2024-25,DCSD-sectoral-demand-table,2026-07-19,high,"Customer category classification"
per-capita-electricity,demand-electrification,FY2024/25,Nepal,465,kWh-per-person,annual-electricity-use,nea-annual-report-fy2024-25,key-data-points,2026-07-19,high,"Annual national average"
national-peak,demand-electrification,2025-06-10,Nepal,2409,MW,domestic-national-peak,nea-annual-report-fy2024-25,annual-peak-reporting,2026-07-19,medium-high,"Distinct from system peak including exports"
system-peak,demand-electrification,2025-07-01,Nepal,2901,MW,system-peak-including-export-load,nea-annual-report-fy2024-25,annual-peak-reporting,2026-07-19,medium-high,"Scope differs from national peak"
electric-cooking-baseline,demand-electrification,2021,Nepal,0.5,percent-of-households,primary-cooking-baseline,wb-household-electric-cooking-nepal-2025,limitations,2026-07-19,medium,"2021 baseline; 2025 source corroborates only below one percent"
kulekhani-cascade-capacity,flexibility,FY2024/25,Nepal,106,MW,installed-cascade-capacity,nea-annual-report-fy2024-25,key-data-points,2026-07-19,high,"Installed MW does not quantify usable seasonal inventory"
kulekhani-cascade-generation,flexibility,FY2024/25,Nepal,279.8,GWh,annual-generation,nea-annual-report-fy2024-25,key-data-points,2026-07-19,high,"Annual total does not show state of charge or reserve contribution"
