blocker_id,project_slug,category,status,first_observed_date,last_verified_date,owner,blocked_milestone,description,source_url,source_title,confidence
upper-tamakoshi-financial-recovery,upper-tamakoshi,finance,monitoring,2024-09-01,2026-05-13,UTKHPL,Sustained balance-sheet recovery,"Current filings are needed to track debt service, insurance recovery, generation loss and the effect of restoration works; the blocker is monitoring-grade rather than a claim that the plant is non-operational.",https://utkhpl.org.np/,Upper Tamakoshi Hydropower Limited project updates,medium
upper-tamakoshi-rolwaling,upper-tamakoshi,construction,active,2021-07-01,2026-07-10,UTKHPL,Rolwaling diversion integration,"The timing, cost and operating contribution of the Rolwaling diversion require a current primary project milestone record.",https://utkhpl.org.np/,Upper Tamakoshi Hydropower Limited project updates,medium
arun-3-progress-basis,arun-3,construction,active,2025-01-01,2026-07-10,SAPDC and SJVN,Reliable completion forecast,"Public progress percentages use different dates and scopes; powerhouse, civil works and the 217 km evacuation line need separate dated measures.",https://sjvn.nic.in/en/arun-iii-hep,SJVN Arun III HEP project page,high
upper-karnali-financial-close,upper-karnali,finance,active,2014-09-19,2026-06-29,GMR Upper Karnali Hydropower Limited,Financial close,"Partner induction and proposed ownership do not establish achieved financial close or disbursement; ICRA still describes the project as very early stage.",https://www.icra.in/Rating/GetRationalReportFilePdf?id=143894,ICRA rating rationale for GMR Energy Limited,high
upper-karnali-offtake,upper-karnali,offtake,active,2017-01-01,2026-07-10,GMR and prospective buyers,Bankable power offtake,"The bankable status and delivery arrangements for the proposed Bangladesh sale remain to be verified from executed agreements and approvals.",https://www.icra.in/Rating/GetRationalReportFilePdf?id=143894,ICRA rating rationale for GMR Energy Limited,medium
tanahu-safeguards,tanahu-hydropower,safeguards,active,2024-01-01,2026-04-01,Tanahu Hydropower Limited and ADB,Completion with safeguard compliance,"Land, compensation, livelihood and environmental-management issues remain subject to current monitoring and Panel of Experts review.",https://www.adb.org/projects/43281-013/main,ADB Tanahu Hydropower Project documents,high
tanahu-schedule,tanahu-hydropower,construction,active,2021-06-30,2026-07-10,Tanahu Hydropower Limited,Commissioning,"The project has passed earlier closing and completion expectations; package-level milestones are more reliable than a single overall percentage.",https://www.adb.org/projects/43281-013/main,ADB Tanahu Hydropower Project documents,high
budhigandaki-financing,budhigandaki,finance,active,2017-01-01,2026-07-10,BGJCL and Government of Nepal,Financing close,"Current procurement activity does not establish a complete financing package for the project.",https://bgjcl.com/,Budhigandaki Jalbidhyut Company Limited,high
budhigandaki-resettlement,budhigandaki,resettlement,active,2015-01-01,2026-07-10,BGJCL and Government of Nepal,Construction readiness,"Compensation, resettlement completion and livelihood-restoration status need a current primary disclosure before construction readiness can be asserted.",https://bgjcl.com/,Budhigandaki Jalbidhyut Company Limited,medium
dudhkoshi-financing,dudhkoshi-storage,finance,active,2026-02-05,2026-07-10,Government of Nepal NEA DKJVCL ADB and AIIB,Financing approval,"AIIB financing is proposed and represents only part of total project cost; appraisal, approval, effectiveness and full financing remain pending.",https://www.aiib.org/en/projects/details/2026/proposed/nepal-dudhkoshi-storage-hydroelectric-project.html,AIIB Dudhkoshi project summary,high
dudhkoshi-safeguards,dudhkoshi-storage,safeguards,active,2026-02-05,2026-07-10,DKJVCL ADB and AIIB,Appraisal and financing approval,"Category A risks include large-scale land acquisition, displacement, Indigenous Peoples impacts, biodiversity alteration, seismicity, landslides, sediment and GLOF exposure; multiple instruments remain under preparation or review.",https://www.aiib.org/en/projects/details/2026/proposed/nepal-dudhkoshi-storage-hydroelectric-project.html,AIIB Dudhkoshi project summary,high
pancheshwar-dpr,pancheshwar,bilateral,active,2016-11-01,2026-07-10,Pancheshwar Development Authority and the governments of Nepal and India,Agreed final DPR,"A mutually acceptable final DPR remains unresolved because bilateral technical and benefit-allocation issues have not been closed.",https://www.jalshakti-dowr.gov.in/offerings/schemes-and-services/details/pancheshwar-multipurpose-project-wMwETNtQWa,Ministry of Jal Shakti Pancheshwar project page,high
mugu-karnali-feasibility,mugu-karnali-storage,design,active,2018-07-06,2026-07-10,VUCL and NEA Engineering Company,Approved feasibility basis,"The feasibility report remains the governing evidence threshold; published project specifications should be treated as current design parameters rather than final construction quantities.",https://www.vucl.org/projects/mugu-karnali-storage-hep,VUCL Mugu Karnali Storage HEP page,high
mugu-karnali-overlap,mugu-karnali-storage,licence,active,2025-01-01,2026-07-10,DoED VUCL and affected licensees,Clear project boundary and cascade configuration,"The separate re-regulating-dam application and an overlapping licensed project require a reconciled project and licence-boundary record.",https://doed.gov.np/pages/appslhydromorethan1/,DoED hydro survey-licence application register,medium
hetda-west-segment,hetauda-dhalkebar-inaruwa-backbone,right-of-way,active,2013-01-01,2026-07-10,NEA,Commissioning of Hetauda-Dhalkebar segment,"The western segment remains the unfinished part of the backbone; right-of-way, local agreement and remaining construction must be tracked at tower or package level.",https://documents1.worldbank.org/curated/en/138811629730936524/pdf/Nepal-India-Electricity-Transmission-and-Trade-Project-Resettlement-Action-Plan.pdf,World Bank NIETTP Resettlement Action Plan,high
gorakhpur-segment-sync,gorakhpur-butwal-interconnection,construction,active,2023-06-02,2026-07-10,NEA POWERGRID and BGCBPTL,Synchronised cross-border commissioning,"Indian and Nepal-side line sections, substations and the New Butwal domestic evacuation connection need separate current status before a commissioning date can be treated as firm.",https://www.powergrid.in/sites/default/files/annual_reports/Powergrid_Annual_Report_2024-25-1.pdf,POWERGRID Integrated Annual Report FY 2024/25,high
