local_project,legacy_capacity_mw,current_official_capacity_mw,decision,decision_basis
Budhi Gandaki Prok Khola HEP,420,81,publish_dual_value,Exact high-confidence DoED identity match; preserve legacy Naxa snapshot
Upper Tamor HEP,32.5,285,publish_dual_value,Exact high-confidence DoED identity match; preserve legacy Naxa snapshot
Betan Karnali HP,688,439,publish_dual_value,Exact high-confidence DoED identity match; preserve legacy Naxa snapshot
Jagdulla HEP,307,106,publish_dual_value,Exact high-confidence DoED identity match; preserve legacy Naxa snapshot
Bheri-1 HEP,440,270,publish_dual_value,Exact high-confidence DoED identity match; preserve legacy Naxa snapshot
Surke Dudhkoshi HEP,350,188,publish_dual_value,Exact high-confidence DoED identity match; preserve legacy Naxa snapshot
Dudhkoshi-6 HEP,83,171,publish_dual_value,Exact high-confidence DoED identity match; preserve legacy Naxa snapshot
Seti Nadi-3,165,87,publish_dual_value,Exact high-confidence DoED identity match; preserve legacy Naxa snapshot
Dudhkoshi-9 HPP,111,166,publish_dual_value,Exact high-confidence DoED identity match; preserve legacy Naxa snapshot
Upper Barunkhola HEP,55,109.5,publish_dual_value,Exact high-confidence DoED identity match; preserve legacy Naxa snapshot
Phukot Karnali,426,480,publish_dual_value,Exact high-confidence DoED identity match; preserve legacy Naxa snapshot
Lower Seti (Tanahu) HEP,92,126,publish_dual_value,Exact high-confidence single-record DoED identity match; preserve legacy Naxa snapshot
Lower Isuwa Khola HPP,37.7,4.9,publish_dual_value,Exact high-confidence single-record DoED identity match; preserve legacy Naxa snapshot
Marshyangdi-7 Hydropower Project,54,85,publish_dual_value,Exact high-confidence single-record DoED identity match; preserve legacy Naxa snapshot
Dana Khola Hydropower Project,19,49.95,publish_dual_value,Exact high-confidence single-record DoED identity match; preserve legacy Naxa snapshot
Dadagau Khalanga Bheri Hydropower Project,128,97.43,publish_dual_value,Exact high-confidence single-record DoED identity match; preserve legacy Naxa snapshot
Upper Myagdi-I HEP,80,53.5,publish_dual_value,Exact high-confidence single-record DoED identity match; preserve legacy Naxa snapshot
Palun khola 1 Hydropower Project,4.95,30,publish_dual_value,Exact high-confidence single-record DoED identity match; preserve legacy Naxa snapshot
Middle Mewa HPP,49,73.5,publish_dual_value,Exact high-confidence single-record DoED identity match; preserve legacy Naxa snapshot
Kuwadi Khola Hydropower Project,9.6,30,publish_dual_value,Exact high-confidence single-record DoED identity match; preserve legacy Naxa snapshot
Lapche- Tamakoshi HEP,22,42,publish_dual_value,Exact high-confidence single-record DoED identity match; preserve legacy Naxa snapshot
Gapuche Madi Nadi HEP,24,4.9,publish_dual_value,Exact high-confidence single-record DoED identity match; preserve legacy Naxa snapshot
Middle Tamor,54,73,publish_dual_value,Exact high-confidence single-record DoED identity match; preserve legacy Naxa snapshot
Upper Budhigandaki HEP,203,220,publish_dual_value,Exact high-confidence single-record DoED identity match; preserve legacy Naxa snapshot
Upper Myagdi,20,37,publish_dual_value,Exact high-confidence single-record DoED identity match; preserve legacy Naxa snapshot
Chujung Khola HEP,48,63,publish_dual_value,Exact high-confidence single-record DoED identity match; preserve legacy Naxa snapshot
Chunchet Syar Khola HEP,60,45,publish_dual_value,Exact high-confidence single-record DoED identity match; preserve legacy Naxa snapshot
Tamakoshi- 9 HEP,24.46,10.5,publish_dual_value,Exact high-confidence single-record DoED identity match; preserve legacy Naxa snapshot
Upper Nyasem A HEP,7.5,21,publish_dual_value,Exact high-confidence single-record DoED identity match; preserve legacy Naxa snapshot
Tamakoshi V,87,99.8,publish_dual_value,Exact high-confidence single-record DoED identity match; preserve legacy Naxa snapshot
Kunban Khola HPP,8.2,20,publish_dual_value,Exact high-confidence single-record DoED identity match; preserve legacy Naxa snapshot
Hongu Khola I HEP,18.64,30,publish_dual_value,Exact high-confidence single-record DoED identity match; preserve legacy Naxa snapshot
Kalika Kaligandaki HEP,49.5,38.16,publish_dual_value,Exact high-confidence single-record DoED identity match; preserve legacy Naxa snapshot
Super Tamor,155,166,publish_dual_value,Exact high-confidence single-record DoED identity match; preserve legacy Naxa snapshot
Upper Apsuwa HEP,24.6,35.15,publish_dual_value,Exact high-confidence single-record DoED identity match; preserve legacy Naxa snapshot
Bagmati Nadi,22,32,publish_dual_value,Exact high-confidence single-record DoED identity match; preserve legacy Naxa snapshot
Langtang Khola Small Hydropower Project,10,20,publish_dual_value,Exact high-confidence single-record DoED identity match; preserve legacy Naxa snapshot
Super Budhigandaki,52,34.39,publish_dual_value,Exact high-confidence current DoED government-study record; exclude the historical cancelled survey application and preserve legacy Naxa snapshot
Simbuwa Khola Hydroelectric Project,53.7,70.3,publish_dual_value,Exact high-confidence current DoED generation licence 377; exclude historical cancelled applications and preserve legacy Naxa snapshot
Upper Sankhuwa Khola HEP,24,40,publish_dual_value,Exact high-confidence current DoED generation licence 416; exclude the historical cancelled SHP application and preserve legacy Naxa snapshot
Middle Chameliya HPP,13,28.304,publish_dual_value,Exact high-confidence current DoED generation licence 470; exclude the historical cancelled survey application and preserve legacy Naxa snapshot
Upper Tamor A HPP,72,60,publish_dual_value,Exact high-confidence current DoED generation licence 512; exclude the historical cancelled survey application and preserve legacy Naxa snapshot
Balephi A,10.6,22.14,publish_dual_value,Exact high-confidence current DoED generation licence 132; exclude historical cancelled survey applications and preserve legacy Naxa snapshot
Kapadigad,3.3,3.33,retain_legacy_below_materiality,Exact high-confidence single-record DoED identity match; difference below 10 MW materiality threshold; preserve legacy Naxa snapshot
Arun Khola 2 HEP,2.16,2.0,retain_legacy_below_materiality,Exact high-confidence single-record DoED identity match; difference below 10 MW materiality threshold; preserve legacy Naxa snapshot
Upper Melamchi HEP,4.6,4.95,retain_legacy_below_materiality,Exact high-confidence single-record DoED identity match; difference below 10 MW materiality threshold; preserve legacy Naxa snapshot
Kalinchok Small,2.6,3.0,retain_legacy_below_materiality,Exact high-confidence single-record DoED identity match; difference below 10 MW materiality threshold; preserve legacy Naxa snapshot
Upper Sardi Hydropower Project,3.3,2.9,retain_legacy_below_materiality,Exact high-confidence single-record DoED identity match; difference below 10 MW materiality threshold; preserve legacy Naxa snapshot
Kisedi Khola Small HPP,4.6,4.1,retain_legacy_below_materiality,Exact high-confidence single-record DoED identity match; difference below 10 MW materiality threshold; preserve legacy Naxa snapshot
Lower Hewa,21.6,22.1,retain_legacy_below_materiality,Exact high-confidence single-record DoED identity match; difference below 10 MW materiality threshold; preserve legacy Naxa snapshot
Syano Khola HPP,4.2,4.75,retain_legacy_below_materiality,Exact high-confidence single-record DoED identity match; difference below 10 MW materiality threshold; preserve legacy Naxa snapshot
Lower Rupse Khola HEP,2.5,1.86,retain_legacy_below_materiality,Exact high-confidence single-record DoED identity match; difference below 10 MW materiality threshold; preserve legacy Naxa snapshot
Sipa Khola HEP,1.514,0.8,retain_legacy_below_materiality,Exact high-confidence single-record DoED identity match; difference below 10 MW materiality threshold; preserve legacy Naxa snapshot
Phedi Khola (Thumlung) Small HPP,3.52,4.3,retain_legacy_below_materiality,Exact high-confidence single-record DoED identity match; difference below 10 MW materiality threshold; preserve legacy Naxa snapshot
Down Piluwa,9.5,10.3,retain_legacy_below_materiality,Exact high-confidence single-record DoED identity match; difference below 10 MW materiality threshold; preserve legacy Naxa snapshot
Super Mai Khola Cascade HPP,3.8,3.0,retain_legacy_below_materiality,Exact high-confidence single-record DoED identity match; difference below 10 MW materiality threshold; preserve legacy Naxa snapshot
Upper Piluwa-1,8.51,7.7,retain_legacy_below_materiality,Exact high-confidence single-record DoED identity match; difference below 10 MW materiality threshold; preserve legacy Naxa snapshot
Pikhuwa Pashupati HEP,3.28,4.1,retain_legacy_below_materiality,Exact high-confidence single-record DoED identity match; difference below 10 MW materiality threshold; preserve legacy Naxa snapshot
Irkhuwa Khola Ka HPP,14.1,15.0,retain_legacy_below_materiality,Exact high-confidence single-record DoED identity match; difference below 10 MW materiality threshold; preserve legacy Naxa snapshot
Lower Tawakhola HEP,8.0,7.1,retain_legacy_below_materiality,Exact high-confidence single-record DoED identity match; difference below 10 MW materiality threshold; preserve legacy Naxa snapshot
Super Most Iwa,3.7,4.6,retain_legacy_below_materiality,Exact high-confidence single-record DoED identity match; difference below 10 MW materiality threshold; preserve legacy Naxa snapshot
Lower Melamchi HEP,4.0,4.96,retain_legacy_below_materiality,Exact high-confidence single-record DoED identity match; difference below 10 MW materiality threshold; preserve legacy Naxa snapshot
Chhomron Khola Small Hydro Power Project,3.914,4.894,retain_legacy_below_materiality,Exact high-confidence single-record DoED identity match; difference below 10 MW materiality threshold; preserve legacy Naxa snapshot
Super Melamchi Hydropower Project,24.7,23.6,retain_legacy_below_materiality,Exact high-confidence single-record DoED identity match; difference below 10 MW materiality threshold; preserve legacy Naxa snapshot
