event_id,project_slug,event_date,event_type,title,status_after,description,source_url,source_title,source_date,confidence,verified_on
upper-tamakoshi-2026-q3,upper-tamakoshi,2026-05-13,disclosure,FY 2082/83 third-quarter financial report published,operating,"UTKHPL published its third-quarter financial report, providing a current company disclosure for operating and financial monitoring.",https://utkhpl.org.np/,Upper Tamakoshi Hydropower Limited project updates,2026-05-13,high,2026-07-10
upper-tamakoshi-2026-annual,upper-tamakoshi,2026-04-06,disclosure,FY 2079/80 and 2080/81 annual reports published,operating,"UTKHPL published its sixteenth and seventeenth annual reports covering the two fiscal years.",https://utkhpl.org.np/annual-reports/,Upper Tamakoshi Hydropower Limited annual reports,2026-04-06,high,2026-07-10
arun-3-2025-review,arun-3,2025-12-08,construction,SJVN management reviewed project progress,under-construction,"SJVN recorded a management review of Arun-3; the event confirms active construction but does not by itself establish a comparable physical-progress percentage.",https://sjvn.nic.in/en/press-release?items_per_page=25,SJVN press releases,2025-12-08,high,2026-07-10
upper-karnali-2026-icra,upper-karnali,2026-06-29,financing,Current ownership and early-stage status recorded,stalled,"ICRA recorded the proposed ownership split among GMR, SJVN, IREDA and NEA and described the project as being at a very early stage of development.",https://www.icra.in/Rating/GetRationalReportFilePdf?id=143894,ICRA rating rationale for GMR Energy Limited,2026-06-29,high,2026-07-10
tanahu-2026-poe,tanahu-hydropower,2026-04-01,safeguards,Ninth Panel of Experts report disclosed,under-construction,"ADB disclosed the ninth environmental and social Panel of Experts report for the active Tanahu project.",https://www.adb.org/projects/43281-013/main,ADB Tanahu Hydropower Project documents,2026-04-01,high,2026-07-10
tanahu-2026-financials,tanahu-hydropower,2026-01-01,disclosure,FY 2024/25 audited project financial statements disclosed,under-construction,"ADB disclosed audited project financial statements for 16 July 2024 to 16 July 2025.",https://www.adb.org/projects/43281-013/main,ADB Tanahu Hydropower Project documents,2026-01-01,high,2026-07-10
budhigandaki-2026-loi,budhigandaki,2026-07-08,procurement,Letter of intent published,pre-construction,"BGJCL published a current letter-of-intent notice, demonstrating active procurement activity without establishing construction commencement.",https://bgjcl.com/pages/notices,BGJCL notices,2026-07-08,high,2026-07-10
dudhkoshi-2026-aiib,dudhkoshi-storage,2026-02-05,financing,AIIB proposed-project summary disclosed,pre-construction,"AIIB listed Dudhkoshi as proposed, Category A, with USD 200 million of proposed sovereign financing and ADB as lead co-financier.",https://www.aiib.org/en/projects/details/2026/proposed/nepal-dudhkoshi-storage-hydroelectric-project.html,AIIB Dudhkoshi project summary,2026-02-05,high,2026-07-10
dudhkoshi-2026-market-sounding,dudhkoshi-storage,2026-02-02,procurement,Development teaser issued for market sounding,pre-construction,"DKJVCL issued a market-sounding teaser for the current 600 MW main powerhouse plus 70 MW dam-toe design basis.",https://dkjvcl.org.np/wp-content/uploads/2026/02/20260202-Teaser-for-Market-Sounding-Final-2.pdf,Dudhkoshi development teaser,2026-02-02,high,2026-07-10
pancheshwar-2016-dpr,pancheshwar,2016-11-01,bilateral,Draft final DPR submitted,stalled,"India's Ministry of Jal Shakti records that WAPCOS submitted the draft final DPR in November 2016; a mutually acceptable final DPR remains unresolved.",https://www.jalshakti-dowr.gov.in/offerings/schemes-and-services/details/pancheshwar-multipurpose-project-wMwETNtQWa,Ministry of Jal Shakti Pancheshwar project page,2016-11-01,high,2026-07-10
mugu-karnali-2026-registry,mugu-karnali-storage,2026-07-02,licence,Re-regulating dam application visible in DoED register,pre-construction,"DoED's current application register includes a separate 271.5 MW Mugu Karnali Re-regulating Dam Hydropower Project promoted by VUCL.",https://doed.gov.np/pages/appslhydromorethan1/,DoED hydro survey-licence application register,2026-07-02,high,2026-07-10
hetda-2024-east-segment,hetauda-dhalkebar-inaruwa-backbone,2024-06-01,operations,Dhalkebar-Inaruwa segment entered operation,partially-operational,"The eastern Dhalkebar-Inaruwa segment is treated as operational while the Hetauda-Dhalkebar segment remains under construction.",https://nea.org.np/admin/assets/uploads/annual_publications/Annual_Report_2024_25.pdf,NEA Annual Report FY 2024/25,2025-07-15,high,2026-07-10
gorakhpur-2023-groundbreaking,gorakhpur-butwal-interconnection,2023-06-02,construction,Cross-border line groundbreaking held,under-construction,"The governments of India and Nepal jointly carried out the groundbreaking of the 400 kV Gorakhpur-Butwal transmission line.",https://indembkathmandu.gov.in/media-detail/43,Embassy of India bilateral visit record,2023-06-02,high,2026-07-10
gorakhpur-2025-jv,gorakhpur-butwal-interconnection,2025-03-31,disclosure,POWERGRID reported the implementing joint venture,under-construction,"POWERGRID reported that the Indian portion is implemented through a 50:50 joint venture with NEA and recorded paid-up capital at 31 March 2025.",https://www.powergrid.in/sites/default/files/annual_reports/Powergrid_Annual_Report_2024-25-1.pdf,POWERGRID Integrated Annual Report FY 2024/25,2025-03-31,high,2026-07-10
