project,category,basin,installed_mw,total_storage_mcm,effective_storage_mcm,annual_energy_gwh,dry_energy_gwh,dry_share_pct,priority_read,source_note
Kulekhani I-III,operating_storage_cascade,Bagmati,106,NA,NA,279.8,NA,NA,"Only operating seasonal-storage cascade in Nepal; crucial for dry-month balancing and peaking","NEA annual report FY 2024/25"
Tanahu,under_construction_storage,Gandaki,140,NA,NA,502.58,NA,NA,"Most practical near-term new storage addition in the checked official set","NEA annual report FY 2024/25"
Dudhkoshi Storage,advanced_planned_storage,Koshi,670,1581,NA,3377,1252,37.1,"Largest quantified dry-season block in the checked official Nepal-side sources; strongest single project for winter support","NEA-linked project figures already used in project notes and questionwise analysis"
Nalsyau Gad,jica_promising_storage,Karnali,410,419.6,296.3,1406.1,581.8,41.4,"Best dry-energy output in the JICA promising-project set","JICA/NEA storage master plan volume 2"
Lower Badigad,jica_promising_storage,Gandaki,380.3,995.9,505.5,1366.0,354.7,26.0,"Large Gandaki carryover storage plus strong dry output","JICA/NEA storage master plan volume 2"
Naumure (W. Rapti),jica_promising_storage,West Rapti,245,1021.0,580.0,1157.5,309.9,26.8,"Very large effective storage for a medium-basin project; strong seasonal-regulation value","JICA/NEA storage master plan volume 2"
Sun Koshi No.3,jica_promising_storage,Koshi,536,1220.0,555.0,1883.6,335.9,17.8,"Large east-central reservoir block with meaningful dry support, though lower dry share than Nalsyau or Dudhkoshi","JICA/NEA storage master plan volume 2"
Madi,jica_promising_storage,West Rapti,199.8,359.5,235.1,621.1,170.7,27.5,"Moderate MW but useful dry-energy ratio in a water-deficit medium basin","JICA/NEA storage master plan volume 2"
Andhi Khola,jica_promising_storage,Gandaki,180,336.5,238.7,648.7,137.1,21.1,"Smaller but still meaningful dry-energy contributor with moderate storage footprint","JICA/NEA storage master plan volume 2"
Chera-1,jica_promising_storage,West Rapti,148.7,254.9,141.1,563.2,120.6,21.4,"Compact option with moderate dry-energy contribution","JICA/NEA storage master plan volume 2"
Kokhajor-1,jica_promising_storage,Koshi,111.5,218.7,166.1,278.9,94.1,33.7,"High dry-energy share for a relatively small plant; useful for distributed seasonal support","JICA/NEA storage master plan volume 2"
Lower Jhimruk,jica_promising_storage,West Rapti,142.5,386.0,211.6,454.7,94.4,20.8,"Useful medium-basin storage candidate, though layout conflicts with Naumure in current design","JICA/NEA storage master plan volume 2"
