scenario_id,label,horizon_year,solar_mwp,bess_gwh,demand_cagr_pct,demand_shaping_seasonal_gwh,hydro_growth_cagr_pct,storage_mw_active,storage_dry_energy_gwh_active,include_risky_storage,include_post_2035_storage,post_2035_assumption,terai_cf_pct,baseline_year,source_note
baseline_fy2025,FY 2024/25 Baseline,2025,142,0,0.0,0,0.0,0,0,False,False,False,16.5,2025,"WECS Low GDP scenario, validated by GIZ/AEPC 2024 study as pragmatic baseline; IPSDP 11% and WECS High GDP 12.8% treated as aspirational upper bounds"
current_1gw,Current + 1 GW Solar,2025,1000,0,0.0,0,0.0,0,0,False,False,False,16.5,2025,"WECS Low GDP scenario, validated by GIZ/AEPC 2024 study as pragmatic baseline; IPSDP 11% and WECS High GDP 12.8% treated as aspirational upper bounds"
current_3gw,Current + 3 GW Solar,2025,3000,0,0.0,0,0.0,0,0,False,False,False,16.5,2025,"WECS Low GDP scenario, validated by GIZ/AEPC 2024 study as pragmatic baseline; IPSDP 11% and WECS High GDP 12.8% treated as aspirational upper bounds"
current_5gw,Current + 5 GW Solar,2025,5000,0,0.0,0,0.0,0,0,False,False,False,16.5,2025,"WECS Low GDP scenario, validated by GIZ/AEPC 2024 study as pragmatic baseline; IPSDP 11% and WECS High GDP 12.8% treated as aspirational upper bounds"
current_5gw_bess,Current + 5 GW Solar + BESS,2025,5000,2,0.0,0,0.0,0,0,False,False,False,16.5,2025,"WECS Low GDP scenario, validated by GIZ/AEPC 2024 study as pragmatic baseline; IPSDP 11% and WECS High GDP 12.8% treated as aspirational upper bounds"
2030_baseline,2030 Projected (no new solar),2030,142,0,8.0,0,3.0,140.0,200.0,False,False,False,16.5,2025,"WECS Low GDP scenario, validated by GIZ/AEPC 2024 study as pragmatic baseline; IPSDP 11% and WECS High GDP 12.8% treated as aspirational upper bounds"
2030_17gw,2030 + 1.7 GW Solar,2030,1700,0,8.0,0,3.0,140.0,200.0,False,False,False,16.5,2025,"WECS Low GDP scenario, validated by GIZ/AEPC 2024 study as pragmatic baseline; IPSDP 11% and WECS High GDP 12.8% treated as aspirational upper bounds"
2035_full,2035 Full Portfolio (excl. Budhigandaki),2035,5000,2,7.0,800,4.0,810.0,1452.0,True,False,False,16.5,2025,"WECS Low GDP scenario, validated by GIZ/AEPC 2024 study as pragmatic baseline; IPSDP 11% and WECS High GDP 12.8% treated as aspirational upper bounds"
2035_solar_only,2035 Solar Only (no new storage),2035,5000,0,7.0,0,4.0,140.0,200.0,False,False,False,16.5,2025,"WECS Low GDP scenario, validated by GIZ/AEPC 2024 study as pragmatic baseline; IPSDP 11% and WECS High GDP 12.8% treated as aspirational upper bounds"
2035_no_solar,2035 Storage Only (no new solar),2035,142,0,7.0,0,4.0,810.0,1452.0,True,False,False,16.5,2025,"WECS Low GDP scenario, validated by GIZ/AEPC 2024 study as pragmatic baseline; IPSDP 11% and WECS High GDP 12.8% treated as aspirational upper bounds"
2035_no_budhigandaki,2035 Excl. Budhigandaki (explicit),2035,5000,2,7.0,800,4.0,810.0,1452.0,True,False,False,16.5,2025,"WECS Low GDP scenario, validated by GIZ/AEPC 2024 study as pragmatic baseline; IPSDP 11% and WECS High GDP 12.8% treated as aspirational upper bounds"
2035_with_budhigandaki,2035 Incl. Budhigandaki (aspirational),2035,5000,2,7.0,800,4.0,2010.0,2862.0,True,True,True,16.5,2025,"WECS Low GDP scenario, validated by GIZ/AEPC 2024 study as pragmatic baseline; IPSDP 11% and WECS High GDP 12.8% treated as aspirational upper bounds"
import_accounting_note,known_limitation,,,,,,,,,,,,,,Model overcounts imports by ~282 GWh/year because it does not model shoulder-month simultaneous import/export or NEA curtailment. Winter Dec-Feb figures are more reliable than annual totals.
scenario_naming_note,known_limitation,,,,,,,,,,,,,,2035_solar_only excludes scenario_risk storage (Dudhkoshi); 2035_no_solar includes it. Names reflect Phase 1 energy-balance design and are counterintuitive for Phase 2 capacity-credit comparison. For evening-peak analysis read scenario definitions table in data-winter-deficit-model.md.
