official_project,official_regulatory_category,official_record_number,suggested_local_project,decision,confidence,rationale,reviewed_on,source_note
Upper Arun HEP,generation_license,506,Upper Barunkhola HEP,rejected_distinct_project,high,Different named river scheme and 1063.36 versus 55 MW capacity,2026-07-13,Official DoED generation-licence record compared with legacy local registry
Tila-1 Hydropower Project,generation_license,236,Phukot Karnali,rejected_distinct_project,high,Different named project and numbered Tila unit despite regional proximity,2026-07-13,Official DoED generation-licence record compared with legacy local registry
Tila-2 Hydropower Project,generation_license,237,Phukot Karnali,rejected_distinct_project,high,Different named project and numbered Tila unit despite regional proximity,2026-07-13,Official DoED generation-licence record compared with legacy local registry
Bajhang Upper Seti HEP,generation_license,437,Chainpur Seti,rejected_distinct_project,high,Different named Seti scheme and capacity despite regional proximity,2026-07-13,Official DoED generation-licence record compared with legacy local registry
Lower Manang Marsyangdi,generation_license,242,Marshyangdi-7 Hydropower Project,rejected_distinct_project,high,Lower Manang and numbered Marsyangdi-7 are separate project identities with different capacities,2026-07-13,Official DoED generation-licence record compared with legacy local registry
Upper Marsyangdi 1,generation_license,247,Upper Marsyangdi A,rejected_distinct_project,high,Numbered unit 1 and lettered unit A have different 138 and 50 MW records,2026-07-13,Official DoED generation-licence record compared with legacy local registry
Manang Marsyangdi,generation_license,243,Marshyangdi-7 Hydropower Project,rejected_distinct_project,high,Manang Marsyangdi and numbered Marsyangdi-7 have distinct capacities and project names,2026-07-13,Official DoED generation-licence record compared with legacy local registry
Budhi Gandaki Ka,generation_license,426,Budhi Gandaki Kha HEP,rejected_distinct_project,high,Ka and Kha are distinct lettered units with 130 and 260 MW records,2026-07-13,Official DoED generation-licence record compared with legacy local registry
Chameliya (Chhetigad),generation_license,248,Chameliya Khola,rejected_distinct_project,high,Chhetigad qualifier and 85 versus 30 MW distinguish the schemes,2026-07-13,Official DoED generation-licence record compared with legacy local registry
Dudhkoshi-2 (Jaleswar) HPP,generation_license,316,Dudhkoshi-6 HEP,rejected_distinct_project,high,Numbered Dudhkoshi-2 and Dudhkoshi-6 units must remain separate,2026-07-13,Official DoED generation-licence record compared with legacy local registry
Lower Apsuwa HEP,generation_license,447,Upper Apsuwa HEP,rejected_distinct_project,high,Lower and Upper are directional project distinctions with different capacities,2026-07-13,Official DoED generation-licence record compared with legacy local registry
Bakan Khola HEP,generation_license,468,Upper Barunkhola HEP,rejected_distinct_project,high,Different river and project names; nearest geography is not identity evidence,2026-07-13,Official DoED generation-licence record compared with legacy local registry
Chilun Khola HEP,generation_license,436,Chujung Khola HEP,rejected_distinct_project,high,Different project names and approximately 267 km separation,2026-07-13,Official DoED generation-licence record compared with legacy local registry
Sankhuwa Khola HEP,generation_license,463,Upper Sankhuwa Khola HEP,rejected_distinct_project,high,Unqualified and Upper schemes have distinct 41.061 and 24 MW records,2026-07-13,Official DoED generation-licence record compared with legacy local registry
Yaru Khola HEP,generation_license,435,Syar Khola HPP,rejected_distinct_project,high,Different project names and materially different capacities,2026-07-13,Official DoED generation-licence record compared with legacy local registry
Myardi Khola,generation_license,514,Nyadi Khola,rejected_distinct_project,high,Different river names despite equal capacity and regional proximity,2026-07-13,Official DoED generation-licence record compared with legacy local registry
Super Aankhu Khola Hydropower Project,generation_license,239,Upper Ankhu Khola,rejected_distinct_project,high,Super and Upper schemes are separately named with 25.4 and 35 MW capacities,2026-07-13,Official DoED generation-licence record compared with legacy local registry
Induwa Khola PRoR HEP,generation_license,496,Ikhuwa Khola HEP,rejected_distinct_project,high,Different river names and capacities; phonetic similarity alone is insufficient,2026-07-13,Official DoED generation-licence record compared with legacy local registry
Bajra Madi Hydropower Project,generation_license,257,Upper Madi,rejected_distinct_project,high,Bajra Madi and Upper Madi are separately named schemes despite close capacities,2026-07-13,Official DoED generation-licence record compared with legacy local registry
Nyadi-Phidi HPP,generation_license,252,Nyadi Khola,rejected_distinct_project,high,Compound Nyadi-Phidi identity differs from Nyadi Khola and capacities differ,2026-07-13,Official DoED generation-licence record compared with legacy local registry
Supreme Middle Seti HEP,generation_license,513,Upper Seti-1 HEP,rejected_distinct_project,high,Middle versus Upper and the numbered unit identify separate schemes,2026-07-13,Official DoED generation-licence record compared with legacy local registry
Chhahare Khola,generation_license,66,Dana Khola Hydropower Project,rejected_distinct_project,high,Different river and project names; proximity is not identity evidence,2026-07-13,Official DoED generation-licence record compared with legacy local registry
Middle Trishuli Ganga nadi,generation_license,379,Trishuli,rejected_distinct_project,high,Middle Trishuli Ganga is a qualified scheme distinct from the legacy Trishuli plant,2026-07-13,Official DoED generation-licence record compared with legacy local registry
Sisuwa Khola HEP,generation_license,432,Irkhuwa Khola-B HPP,rejected_distinct_project,high,Different river name and lettered Irkhuwa-B unit,2026-07-13,Official DoED generation-licence record compared with legacy local registry
Tirija Khola HEP,generation_license,484,Mudi Khola Hydropower Project,rejected_distinct_project,high,Different project names; proximity does not establish identity,2026-07-13,Official DoED generation-licence record compared with legacy local registry
Middle Likhu Small HEP,generation_license,498,Lower Likhu,rejected_distinct_project,high,Middle and Lower are directional scheme distinctions with materially different capacities,2026-07-13,Official DoED generation-licence record compared with legacy local registry
Garchyang Khola,generation_license,245,Nyache Khola Hydropower Project,rejected_distinct_project,high,Different river and project names despite geographic proximity,2026-07-13,Official DoED generation-licence record compared with legacy local registry
Lapa Khola Hydropower Project,generation_license,486,Mailung Khola,rejected_distinct_project,high,Different river and project names with substantial separation,2026-07-13,Official DoED generation-licence record compared with legacy local registry
Tallo Indrawati HEP,generation_license,401,Indrawati -III,rejected_distinct_project,high,Tallo and numbered Indrawati-III are separate units with different capacities,2026-07-13,Official DoED generation-licence record compared with legacy local registry
Syarpu HEP,generation_license,385,Bijayapur-1,rejected_distinct_project,high,Different project names and approximately 161 km separation,2026-07-13,Official DoED generation-licence record compared with legacy local registry
Thaligad Small HPP,generation_license,451,Thuligad Khola Small HEP,rejected_distinct_project,high,Distinct official name plus approximately 97 km separation and different capacity,2026-07-13,Official DoED generation-licence record compared with legacy local registry
